timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
90,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
179,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
268,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
360,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
449,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
538,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
626,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
715,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
805,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
895,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
985,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1073,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1162,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1250,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1339,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1429,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1517,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1606,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1695,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1782,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1871,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1972,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2061,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2146,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2234,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2323,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2413,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2502,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2592,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2681,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2770,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2859,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2947,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3035,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3123,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3211,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3299,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3388,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3477,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3566,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3654,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3741,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3830,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3919,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4008,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4098,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4186,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4274,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4362,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4452,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4539,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4628,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4716,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4806,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4895,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4985,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5073,570,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5182,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5272,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5361,600,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5450,610,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5539,620,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5627,630,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5716,640,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5806,650,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5895,660,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5984,670,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6074,680,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,0.16217402,0.27619934,0,0
6163,690,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,0.6504912,1.1064606,0,0
6253,700,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,1.2718649,2.1627502,0,0
6342,710,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,1.8877815,3.2098083,0,0
6429,720,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,2.5798664,4.379364,0,0
6517,730,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,3.1633625,4.9901886,0,0
6604,740,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,3.7494075,5.2680817,0,0
6693,750,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,4.219145,5.37648,0,0
6782,760,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,5.0420246,5.4589844,0,0
6883,770,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,5.6889076,5.4827576,0,0
6973,780,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,6.159435,5.490814,0,0
7061,790,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,6.865324,5.496414,0,0
7147,800,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,7.5712137,5.498596,0,0
7236,810,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,7.9685526,5.499359,0,0
7322,820,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,8.160706,5.4997406,0,0
7412,830,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,8.236658,5.499893,0,0
7499,840,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,8.27538,5.4999084,0,0
7588,850,0,0,1,0,1,0,0,8.3,5.5,0,0,0,0,8.288808,5.4999084,0,0
7677,860,0,0,1,0,1,0,0,8.3,5.5,5.3,0,0,0,8.294893,5.4999084,0,0
7766,870,0,0,1,0,1,0,0,8.3,5.5,5.3,0,0,0,8.298017,5.4999084,0.5983782,0
7856,880,0,0,1,0,1,0,0,8.3,5.5,5.3,0,0,0,8.299094,5.4999084,1.8496132,0
7945,890,0,0,1,0,1,0,0,8.3,5.5,5.3,0,0,0,8.299597,5.4999084,3.0478,0
8034,900,0,0,1,0,1,0,0,8.3,5.5,5.3,0,0,0,8.299776,5.4999084,3.6991405,0
8124,910,0,0,1,0,1,0,0,8.3,5.5,5.3,0,1,0,8.299902,5.4999084,4.3809366,0
8212,920,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299902,5.4999084,4.7395515,0
8301,930,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299902,5.4999084,4.675026,0
8393,940,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299884,5.4999084,4.617462,0
8483,950,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299937,5.4999084,4.5884037,0
8571,960,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299937,5.4999084,4.567995,0
8659,970,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299937,5.4999084,4.5561743,0
8748,980,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299937,5.4999084,4.5472765,0
8837,990,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299937,5.4999084,4.5426416,0
8925,1000,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299937,5.4999084,4.5396233,0
9013,1010,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299937,5.4999084,4.5373487,0
9101,1020,0,0,1,0,1,1,0,8.3,5.5,4.5252514,0,1,1,8.299937,5.4999084,4.5363665,0
9190,1030,0,0,1,0,1,1,0,8.3,5.5,0,0,1,1,8.299937,5.4999084,4.5354033,0
9280,1040,0,0,1,0,1,1,0,8.3,5.5,0,0,1,1,8.299937,5.4999084,4.3893337,0
9368,1050,1,0,1,0,1,1,0,8.3,5.5,0,1,1,1,8.299937,5.4999084,3.2501936,0
9457,1060,1,0,1,0,1,1,0,8.3,5.5,0,1,1,1,8.299937,5.4999084,2.1256876,0
9546,1070,1,0,1,0,1,1,0,8.3,5.5,0,1,1,1,8.299937,5.4999084,1.3905096,0
9634,1080,1,0,1,0,1,1,0,8.3,5.5,0,1,1,1,8.299937,5.4999084,0.8368683,0
9723,1090,1,0,1,0,1,1,0,8.3,5.5,0,1,1,1,8.299937,5.4999084,0.597415,0
9813,1100,1,0,1,0,1,1,0,8.3,5.5,0,1,1,1,8.299937,5.4999084,0.36153316,0
9902,1110,1,0,1,0,1,1,0,8.3,5.5,0,1,1,1,8.299937,5.4999084,0.22936821,0
9996,1120,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,8.299937,5.4999084,0,0
10086,1130,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,8.194616,5.320587,0,0
10175,1140,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,7.918791,4.8515167,0,0
10264,1150,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,7.190211,4.1256104,0,0
10352,1160,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,6.639081,3.9481354,0,0
10441,1170,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,6.0677204,3.8673706,0,0
10530,1180,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,5.3704295,3.8261719,0,0
10618,1190,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,4.78521,3.8118896,0,0
10708,1200,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,4.315778,3.8063202,0,0
10797,1210,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,3.6443913,3.8024597,0,0
10886,1220,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,3.3115342,3.800949,0,0
10973,1230,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,3.1962495,3.8004303,0,0
11061,1240,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,3.1437953,3.8002014,0,0
11150,1250,1,0,1,0,1,1,0,3.1,3.8,0,1,1,1,3.1199198,3.8000793,0,0
