timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
91,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
179,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
267,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
355,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
441,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
531,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
620,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
707,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
795,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
887,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
974,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1061,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1150,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1237,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1325,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1430,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1518,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1605,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1695,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1784,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1873,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1961,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
