timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
88,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
177,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
267,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
356,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
445,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
535,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
634,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
723,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
811,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
900,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
989,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1078,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1167,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1255,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1342,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1428,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1519,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1609,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1697,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1787,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1876,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1965,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2053,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2142,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2250,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2339,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2428,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2514,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2602,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2691,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2780,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2868,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2958,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3047,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3136,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3225,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3313,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3403,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3493,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3584,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3673,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3762,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3851,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3942,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4045,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4133,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4222,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4310,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4400,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4490,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4580,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4668,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4756,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4846,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
