timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,0,0
87,10,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,0,0
176,20,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,0.805645,0
266,30,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,1.8509293,0
367,40,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,3.4820032,0
456,50,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,4.114151,0
544,60,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,4.5268154,0
633,70,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,4.8376274,0
721,80,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,4.972081,0
811,90,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.1045465,0
901,100,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.1787615,0
989,110,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.228443,0
1078,120,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.2542353,0
1168,130,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.2682686,0
1256,140,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.282078,0
1346,150,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.290351,0
1434,160,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.294986,0
1523,170,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.297675,0
1612,180,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.2997017,0
1701,190,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3005743,0
1790,200,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3014374,0
1878,210,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3018856,0
1967,220,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.302224,0
2063,230,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.302396,0
2152,240,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3025007,0
2242,250,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3025913,0
2330,260,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026485,0
2419,270,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
2508,280,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
2598,290,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
2687,300,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
2777,310,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
2866,320,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
2954,330,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3043,340,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3133,350,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3222,360,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3310,370,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3398,380,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3488,390,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3576,400,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3667,410,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3756,420,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3844,430,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
3933,440,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4024,450,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4112,460,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4202,470,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4291,480,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4381,490,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4470,500,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4558,510,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4646,520,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4735,530,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4824,540,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
4914,550,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
5002,560,1,0,1,0,1,0,0,0,0,5.3,1,1,0,0,0,5.3026724,0
5091,570,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5179,580,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5269,590,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5365,600,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5455,610,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5544,620,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5634,630,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5722,640,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5812,650,0,0,1,0,1,0,0,0,0,5.3,0,1,0,0,0,5.3026724,0
5901,660,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,0,0,5.3026724,0
5991,670,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,0,0,5.3026676,0
6079,680,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,0.22798428,0.38806152,5.302148,0
6168,690,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,0.7978911,1.3569946,5.301132,0
6258,700,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,1.326635,2.2558289,5.300555,0
6347,710,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,2.0021687,3.4042206,5.3003025,0
6435,720,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,2.5798843,4.379364,5.300379,0
6525,730,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,3.1633804,4.9901886,5.300474,0
6615,740,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,3.7494435,5.2680817,5.3004646,0
6705,750,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,4.45422,5.4098663,5.300379,0
6791,760,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,5.1008515,5.462097,5.300312,0
6880,770,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,5.6889434,5.4827576,5.300269,0
6986,780,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,6.394743,5.4933014,5.3000307,0
7074,790,0,0,0,0,0,1,0,8.3,5.5,5.2978373,0,0,1,7.0414467,5.497162,5.297351,0
7162,800,0,0,0,0,0,1,0,8.3,5.5,5.2978373,0,0,1,7.723712,5.498886,5.2935553,0
7250,810,0,0,0,0,0,1,0,8.3,5.5,5.2978373,0,0,1,8.036858,5.4994965,5.285473,0
7339,820,1,0,0,0,0,1,0,8.3,5.5,5.2978373,1,0,1,8.179447,5.499771,5.282426,0
7428,830,1,0,0,0,0,1,0,8.3,5.5,5.2978373,1,0,1,8.244413,5.4999084,5.2811527,0
7516,840,1,0,0,0,0,1,0,8.3,5.5,5.2978373,1,0,1,8.277498,5.4999084,5.280657,0
7605,850,1,0,0,0,0,1,0,8.3,5.5,5.2978373,1,0,1,8.287246,5.4999084,5.2801847,0
7693,860,1,0,0,0,0,1,0,8.3,5.5,5.28039,1,0,1,8.294104,5.4999084,5.280242,0
7782,870,1,0,0,0,0,1,0,8.3,5.5,5.28039,1,0,1,8.29685,5.4999084,5.2756023,0
7870,880,1,0,0,0,0,1,0,8.3,5.5,5.28039,1,0,1,8.2978735,5.4999084,5.2740145,0
7961,890,1,0,0,0,0,1,0,8.3,5.5,5.28039,1,0,1,8.29834,5.4999084,5.2730656,0
8048,900,1,0,0,0,0,1,0,8.3,5.5,5.28039,1,0,1,8.298609,5.4999084,5.272689,0
8137,910,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.298806,5.4999084,5.26402,0
8227,920,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299363,5.4999084,4.861684,0
8316,930,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.29974,5.4999084,3.435421,0
8403,940,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,2.0627022,0
8490,950,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,1.2935591,0
8579,960,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.8475065,0
8668,970,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.5563593,0
8756,980,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.33709526,0
8845,990,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.24227142,0
8935,1000,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.299902,5.4999084,0,0
9024,1010,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.137673,5.223755,0,0
9112,1020,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.7434225,4.574417,0,0
9201,1030,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.243455,4.152298,0,0
9289,1040,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,6.8072867,3.9876099,0,0
9377,1050,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,6.0677023,3.8673706,0,0
9467,1060,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,5.3704114,3.8261719,0,0
9556,1070,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,4.785192,3.8118896,0,0
9646,1080,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,4.198303,3.8054047,0,0
9733,1090,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.5650456,3.8021088,0,0
9822,1100,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.3476167,3.801117,0,0
9910,1110,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1962316,3.8004303,0,0
9997,1120,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1437774,3.8002014,0,0
10085,1130,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1157012,3.8000793,0,0
10175,1140,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1071563,3.8000793,0,0
10264,1150,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1032608,3.8000793,0,0
10353,1160,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.101717,3.8000793,0.80708504,0
10442,1170,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1006577,3.8000793,2.4840212,0
10532,1180,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1002448,3.8000793,4.690943,0
10619,1190,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,6.513014,0
10709,1200,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,7.911582,0
10798,1210,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,8.63821,0
10887,1220,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.073668,0
10976,1230,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.446449,0
11064,1240,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.669895,0
11153,1250,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.785981,0
11242,1260,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.861765,0
11331,1270,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.918838,0
11420,1280,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.948492,0
11508,1290,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.9646,0
11609,1300,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.982419,0
11698,1310,0,0,0,0,0,0,0,3.1,3.8,10,0,0,1,3.1000652,3.8000793,9.990587,1
11787,1320,0,0,0,0,0,0,0,3.1,3.8,0,0,0,1,3.1000652,3.8000793,9.994235,1
11876,1330,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.1000652,3.8000793,9.299812,1
11966,1340,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.1000652,3.8000793,7.681842,1
12054,1350,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.1000652,3.8000793,5.899949,1
12142,1360,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.1000652,3.8000793,3.9671469,1
12231,1370,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.1000652,3.8000793,2.37844,1
