timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
109,10,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
199,20,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
286,30,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
375,40,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
463,50,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
552,60,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
639,70,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
729,80,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
817,90,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
905,100,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
995,110,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1086,120,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1175,130,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1265,140,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1354,150,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1444,160,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1534,170,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1624,180,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1714,190,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1803,200,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1910,210,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2000,220,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2088,230,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2176,240,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2264,250,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2353,260,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2443,270,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2532,280,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2622,290,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2710,300,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2798,310,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2886,320,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2975,330,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3064,340,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3153,350,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3241,360,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
