timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
88,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
178,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
266,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
356,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
444,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
533,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
621,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
711,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
801,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
891,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
981,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1071,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1161,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1249,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1336,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1423,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1513,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1602,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1691,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1793,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1883,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1973,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2062,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2151,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2239,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2326,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2415,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2505,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2594,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2682,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2771,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2861,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2951,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3040,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3128,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3215,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3302,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3389,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3479,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3570,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3660,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3749,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3839,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3928,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4017,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4107,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4196,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4285,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4374,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4462,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4551,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4640,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4730,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4820,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4909,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4998,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5094,570,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5182,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5271,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5359,600,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5449,610,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5537,620,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5626,630,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5714,640,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5803,650,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5892,660,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5981,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6070,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6158,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6246,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6335,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6422,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6510,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6600,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6690,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6779,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6868,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6957,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7046,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7134,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7222,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7311,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7400,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7489,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7577,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7665,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7754,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7843,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7933,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8022,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8111,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8200,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8299,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8387,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8566,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8655,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8833,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8922,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9012,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9101,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9191,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9279,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9368,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9457,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9546,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9635,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9725,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9815,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9905,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9993,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10077,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10166,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10255,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10344,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10432,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10519,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10609,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10696,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10783,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10872,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10961,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11048,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11136,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11224,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11312,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11405,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11494,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11584,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11673,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11761,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11848,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11937,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12026,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12115,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12205,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12294,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12383,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12471,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12559,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12649,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12738,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12824,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12914,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13016,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13104,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13192,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13282,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13371,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13461,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13549,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13639,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13729,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13817,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13905,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13995,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14084,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14172,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14260,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14349,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14437,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14526,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14618,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14708,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14797,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14887,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14976,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15065,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15155,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15244,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15419,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15508,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15595,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15684,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15770,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15860,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15949,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16039,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16127,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16220,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16308,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16396,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16483,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16569,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16658,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16747,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16835,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16924,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17011,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17099,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17188,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17276,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17365,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17454,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17543,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17633,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17722,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17811,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17899,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17996,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18084,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18172,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18262,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18351,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18440,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18529,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18617,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18706,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18795,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18883,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18972,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19060,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19148,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19237,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19326,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19414,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19513,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19601,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19690,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19779,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19867,2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19955,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20045,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20134,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20222,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20311,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20400,2290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20489,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20576,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20665,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20754,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20844,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20932,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21021,2360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21110,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21197,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21285,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21374,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21461,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21548,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21634,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21722,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21812,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21902,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21990,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22076,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
