timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
89,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
176,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
264,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
352,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
440,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
556,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
645,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
735,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
825,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
914,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1003,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1091,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1180,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1267,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1356,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1446,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1534,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1623,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1733,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1820,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1906,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1995,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2084,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2172,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
