timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
89,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
178,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
267,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
356,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
444,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
545,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
634,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
722,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
811,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
900,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
988,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1077,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1166,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1255,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1343,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1432,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1521,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1610,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1698,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1787,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1876,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1964,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2053,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2142,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
