timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
103,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
192,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
281,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
370,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
458,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
548,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
637,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
726,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
815,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
902,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
990,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1082,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1172,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1261,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1348,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1438,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1528,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1616,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1705,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1793,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1888,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1976,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2063,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2151,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2238,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2326,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2416,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2504,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2594,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2682,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2772,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2859,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2947,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3037,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3123,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3213,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3301,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3388,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3483,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3574,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3663,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3752,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3841,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3929,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4018,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4106,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4195,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4285,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4374,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4463,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4551,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4640,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4730,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4820,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4909,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4998,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5087,570,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5189,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5276,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
