timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
91,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
179,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
267,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
357,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
444,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
534,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
624,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
712,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
801,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
890,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
979,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1069,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1157,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1248,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1337,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1427,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1516,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1606,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1696,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1783,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1870,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1958,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2048,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2138,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2227,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2317,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2406,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2496,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2586,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2674,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2777,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2865,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2953,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3041,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3129,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3217,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3306,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3394,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3483,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3571,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3661,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3749,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3837,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3926,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4016,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4102,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4191,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4279,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4369,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4474,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4562,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4652,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4739,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4827,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4917,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5006,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5096,570,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5186,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5279,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5368,600,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5455,610,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5543,620,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5635,630,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5724,640,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5813,650,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5902,660,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
5990,670,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6079,680,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.22794837,0.38806152,0,0
6167,690,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.6504912,1.1064606,0,0
6256,700,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.0564468,1.7965851,0,0
6343,710,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.7173319,2.9200592,0,0
6432,720,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.4057367,4.090332,0,0
6520,730,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.98794,4.854309,0,0
6609,740,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.6907241,5.249069,0,0
6697,750,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.2779,5.3858337,0,0
6787,760,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.8656507,5.448059,0,0
6874,770,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.3360524,5.472351,0,0
6963,780,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.1006074,5.4900665,0,0
7053,790,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.806497,5.4961243,0,0
7142,800,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.3947325,5.49823,0,0
7232,810,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.941374,5.4993134,0,0
7321,820,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.136938,5.499695,0,0
7414,830,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.225852,5.4998627,0,0
7503,840,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.26626,5.4999084,0,0
7592,850,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.287892,5.4999084,0,0
7681,860,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29448,5.4999084,0,0
7771,870,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.297478,5.4999084,0.26735306,0
7861,880,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299022,5.4999084,1.5586805,0
7950,890,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299489,5.4999084,2.6286983,0
8039,900,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299794,5.4999084,3.6991405,0
8127,910,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.340844,0
8216,920,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.6742487,0
8306,930,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.6635103,0
8394,940,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.6063757,0
8483,950,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.561143,0
8572,960,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5435,0
8662,970,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.526119,0
8750,980,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.51571,0
8839,990,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5103073,0
8928,1000,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5067787,0
9017,1010,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5041275,0
9106,1020,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.50274,0
9195,1030,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299902,5.4999084,4.5019865,0
9284,1040,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299902,5.4999084,4.4419336,0
9373,1050,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,3.4684896,0
9463,1060,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,2.289381,0
9551,1070,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,1.3756084,0
9639,1080,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.90090275,0
9727,1090,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.64293385,0
9817,1100,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.3729391,0
9906,1110,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.22698879,0
9996,1120,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.299902,5.4999084,0,0
10085,1130,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.241164,5.399811,0,0
10174,1140,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.9985676,4.987198,0,0
10263,1150,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.451477,4.2827606,0,0
10352,1160,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,6.7514577,3.973404,0,0
10441,1170,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,6.182969,3.8788757,0,0
10530,1180,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,5.48715,3.8306427,0,0
10620,1190,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,4.9024158,3.813919,0,0
10708,1200,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,4.315778,3.8063202,0,0
10795,1210,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.8458073,3.80336,0,0
10885,1220,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.3476348,3.801117,0,0
10975,1230,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.2126572,3.8005066,0,0
11061,1240,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.151263,3.800232,0,0
11149,1250,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1215534,3.8000793,0,0
11236,1260,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1114826,3.8000793,0,0
11324,1270,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1044815,3.8000793,0,0
11413,1280,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1017349,3.8000793,0,0
11499,1290,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1007833,3.8000793,0,0
11585,1300,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1003525,3.8000793,0,0
11673,1310,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.100119,3.8000793,0,0
11763,1320,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1001012,3.8000793,0,0
11851,1330,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
11957,1340,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12045,1350,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12134,1360,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12222,1370,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12312,1380,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12401,1390,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12490,1400,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12577,1410,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12665,1420,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12752,1430,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12840,1440,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
12930,1450,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13018,1460,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13106,1470,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13194,1480,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13283,1490,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13370,1500,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13459,1510,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13545,1520,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13647,1530,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13734,1540,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13820,1550,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13906,1560,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
13994,1570,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14085,1580,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14172,1590,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14261,1600,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14351,1610,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14439,1620,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14529,1630,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14618,1640,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14707,1650,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14795,1660,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14884,1670,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
14972,1680,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
15058,1690,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
15156,1700,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
15246,1710,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
15334,1720,0,0,0,0,0,1,0,3.1,3.8,0,0,0,1,3.1001012,3.8000793,0,0
