timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
88,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
176,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
265,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
354,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
443,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
531,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
619,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
708,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
796,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
884,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
973,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1065,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1154,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1243,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1329,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1418,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1506,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1594,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1682,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1774,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1864,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1951,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2037,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2127,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2214,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2303,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2393,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2480,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2568,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2656,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2744,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2832,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2919,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3009,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3099,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3188,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3278,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3368,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3458,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3546,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3634,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3723,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3821,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3910,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4000,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4089,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4177,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4266,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4355,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4444,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4533,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4621,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4710,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4798,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4886,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4974,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5062,570,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5151,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5240,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5329,600,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5418,610,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5514,620,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5604,630,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5693,640,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5782,650,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5872,660,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5961,670,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6050,680,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.16217402,0.27619934,0,0
6139,690,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.46639836,0.7935028,0,0
6227,700,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.0564468,1.7965851,0,0
6317,710,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.7173319,2.9200592,0,0
6405,720,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.2899852,3.8935547,0,0
6494,730,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.9295259,4.8013916,0,0
6584,740,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.6320586,5.2285004,0,0
6674,750,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.1016703,5.3554077,0,0
6762,760,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.8068595,5.443802,0,0
6851,770,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.3948617,5.4744415,0,0
6940,780,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.1006074,5.4900665,0,0
7028,790,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.688843,5.495468,0,0
7120,800,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.159442,5.497574,0,0
7208,810,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.8457284,5.4991302,0,0
7297,820,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.123564,5.4996643,0,0
7386,830,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.219766,5.4998474,0,0
7474,840,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.263496,5.4999084,0,0
7563,850,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.285828,5.4999084,0,0
7652,860,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.293547,5.4999084,0,0
7740,870,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.297066,5.4999084,0,0
7826,880,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298771,5.4999084,1.1576891,0
7914,890,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299453,5.4999084,2.5122738,0
8003,900,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299776,5.4999084,3.6293411,0
8091,910,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.209776,0
8182,920,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299902,5.4999084,4.5252514,0
8270,930,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299902,5.4999084,5.1022053,0
8358,940,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.300171,5.4999084,5.4139566,0
8447,950,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299902,5.4999084,5.3671026,0
8536,960,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299668,5.4999084,5.3566313,0
8625,970,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299686,5.4999084,5.3564596,0
8715,980,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299471,5.4999084,5.3558683,0
8816,990,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299255,5.4999084,5.3561783,0
8905,1000,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299184,5.4999084,5.3558207,0
8994,1010,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299237,5.4999084,5.3595543,0
9083,1020,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299202,5.4999084,5.356283,0
9173,1030,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299363,5.4999084,5.3602743,0
9259,1040,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299435,5.4999084,5.367975,0
9348,1050,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299542,5.4999084,5.5100536,0
9438,1060,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.29965,5.4999084,5.358815,0
9527,1070,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299866,5.4999084,4.222393,0
9618,1080,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,2.6043415,0
9708,1090,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,1.7029428,0
9796,1100,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,1.0241365,0
9885,1110,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.67148685,0
9974,1120,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.44131756,0
10064,1130,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.3033781,0
10153,1140,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.299902,5.4999084,0,0
10251,1150,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.295809,5.49292,0,0
10340,1160,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.9985676,4.987198,0,0
10431,1170,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.551898,4.3651276,0,0
10520,1180,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.0280724,4.057083,0,0
10608,1190,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,6.3550525,3.8999023,0,0
10696,1200,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,5.894219,3.8531952,0,0
10784,1210,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,5.195115,3.8206635,0,0
10872,1220,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,4.609267,3.8093872,0,0
10961,1230,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.8458073,3.80336,0,0
11048,1240,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.439367,3.8015442,0,0
11138,1250,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.2543585,3.8006897,0,0
11227,1260,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1600056,3.8002625,0,0
11316,1270,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1319473,3.8001404,0,0
11404,1280,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.112416,3.8000793,0,0
11493,1290,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.1056662,3.8000793,0,0
11583,1300,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.1022015,3.8000793,0.42100906,0
11670,1310,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.1009989,3.8000793,1.5609837,0
11758,1320,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.1004603,3.8000793,3.1731367,0
11847,1330,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.1002269,3.8000793,5.0935507,0
11937,1340,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.100119,3.8000793,7.1830034,0
12026,1350,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,8.162389,0
12133,1360,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,8.900008,0
12222,1370,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.283247,0
12311,1380,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.571862,0
12400,1390,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.709539,0
12489,1400,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.827399,0
12578,1410,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.898057,0
12667,1420,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.934759,0
12756,1430,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.958725,0
12843,1440,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.971752,0
12932,1450,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.984579,0
13021,1460,0,0,0,0,0,0,0,3.1,3.8,0,0,0,1,3.100119,3.8000793,9.992266,1
13109,1470,0,0,0,0,0,0,0,3.1,3.8,0,0,0,1,3.100119,3.8000793,9.849319,1
13199,1480,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,8.578558,1
13286,1490,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,7.0061016,1
13375,1500,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,5.111642,1
13465,1510,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,3.345089,1
13555,1520,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,2.005515,1
13643,1530,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,1.3094711,1
13733,1540,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,0.85505486,1
13822,1550,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,0.5583954,1
13911,1560,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,0.34951687,1
14001,1570,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,0.20972729,1
14091,1580,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.100119,3.8000793,0,1
14179,1590,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.2622213,4.076233,0,1
14268,1600,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.6564727,4.7255707,0,1
14357,1610,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.156476,5.14769,0,1
14445,1620,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.70459,5.3397217,0,1
14535,1630,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.4478545,5.442444,0,1
14624,1640,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.0295553,5.473831,0,1
14713,1650,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.614793,5.4881134,0,1
14806,1660,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.3191566,5.495392,0,1
14896,1670,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.7556477,5.4975433,0,1
14985,1680,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.088594,5.499054,0,1
15073,1690,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.217881,5.499634,0,1
15163,1700,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.265525,5.4998474,0,1
15263,1710,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.285522,5.4999084,0,1
15353,1720,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.293421,5.4999084,0,1
15442,1730,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.297478,5.4999084,0.41874886,1
15532,1740,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298861,5.4999084,1.5587664,1
15620,1750,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299453,5.4999084,2.740326,1
15709,1760,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299776,5.4999084,3.7660503,1
15798,1770,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.3809605,1
15888,1780,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299902,5.4999084,4.7004414,1
15977,1790,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.2998295,5.4999084,5.524249,1
16067,1800,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299632,5.4999084,5.3977776,1
16155,1810,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.299919,5.4999084,5.371852,1
16242,1820,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.3001175,5.4999084,5.3690386,1
16329,1830,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.300405,5.4999084,5.3678465,1
16419,1840,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.300566,5.4999084,5.368085,1
16509,1850,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.300566,5.4999084,5.371723,1
16597,1860,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.300637,5.4999084,5.362625,1
16685,1870,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.300942,5.4999084,5.362892,1
16773,1880,0,0,0,0,0,1,0,8.3,5.5,11,0,0,1,8.300799,5.4999084,5.3680134,1
16860,1890,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.300745,5.4999084,5.368438,1
16950,1900,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.300692,5.4999084,5.3706264,1
17039,1910,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.300566,5.4999084,5.4967976,1
17129,1920,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.300423,5.4999084,5.2370787,1
17218,1930,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.300189,5.4999084,4.219389,1
17306,1940,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.3001175,5.4999084,2.6025343,1
17395,1950,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.3001175,5.4999084,1.8525505,1
17483,1960,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.3001175,5.4999084,1.0676479,1
17572,1970,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.3001175,5.4999084,0.69989204,1
17660,1980,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.3001175,5.4999084,0.4229498,1
17748,1990,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.3001175,5.4999084,0.27907372,1
17836,2000,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.3001175,5.4999084,0,1
17925,2010,1,0,0,0,0,1,0,3.1,6.7,0,1,0,1,8.275739,5.541443,0,1
18013,2020,1,0,0,0,0,1,0,3.1,6.7,0,1,0,1,8.072025,5.8880157,0,1
