timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
88,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
180,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
266,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
355,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
442,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
531,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
620,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
705,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
793,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
879,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
966,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1054,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1143,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1231,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1319,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1408,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1498,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1586,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1675,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1763,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1851,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1939,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2028,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2117,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2205,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2293,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2381,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2478,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2565,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2653,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2743,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2832,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2918,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3005,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3094,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3183,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3273,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3363,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3451,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3539,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3625,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3715,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3804,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3892,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3981,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4068,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4170,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4259,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4348,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4437,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4527,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4616,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4706,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4795,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
