timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
91,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
180,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
270,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
359,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
447,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
536,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
624,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
714,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
803,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
891,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
980,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1071,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1161,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1251,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1340,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1429,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1529,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1619,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1708,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1797,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1888,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1976,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2065,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2154,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2243,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2332,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2419,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2506,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2594,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2684,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2771,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2862,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2951,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3040,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3129,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3218,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3308,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3397,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3509,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3599,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3687,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3774,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3863,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3951,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4039,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4127,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4217,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4307,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4395,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4484,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4573,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4662,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4752,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4841,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4930,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5019,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5107,570,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5196,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5302,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
