timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
16,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
105,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
194,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
283,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
372,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
461,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
549,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
638,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
728,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
818,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
908,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
997,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1089,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1176,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1265,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1353,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1442,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1530,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1620,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1710,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1799,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1886,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1973,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2061,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2150,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2238,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2325,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2411,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2499,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2589,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2678,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2767,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2857,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2945,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3033,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3121,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3211,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3300,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3390,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3478,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3567,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3656,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3745,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3833,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3922,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4011,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4100,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4189,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4277,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4371,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4460,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4549,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4637,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4726,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4816,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4904,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4993,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5081,570,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5170,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5257,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5345,600,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5433,610,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5521,620,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5611,630,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5699,640,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5786,650,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5876,660,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5965,670,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6054,680,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6158,690,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.51086426,0.8691101,0,0
6245,700,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.0036514,1.7068481,0,0
6334,710,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.6608564,2.824051,0,0
6421,720,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.2322352,3.7953644,0,0
6510,730,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.696246,4.542679,0,0
6599,740,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.397558,5.12796,0,0
6688,750,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.1016703,5.3554077,0,0
6777,760,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.689277,5.434204,0,0
6867,770,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.3360524,5.472351,0,0
6956,780,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.0417805,5.489258,0,0
7042,790,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.630016,5.495102,0,0
7132,800,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.1006327,5.4973755,0,0
7221,810,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.7681775,5.4989777,0,0
7310,820,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.093441,5.4996033,0,0
7400,830,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.206051,5.499817,0,0
7489,840,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.257267,5.4999084,0,0
7588,850,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.280568,5.4999084,0,0
7677,860,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.293026,5.4999084,0,0
7766,870,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29728,5.4999084,0.41861057,0
7855,880,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298771,5.4999084,1.5586758,0
7943,890,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299453,5.4999084,2.8471804,0
8031,900,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29974,5.4999084,3.6991405,0
8120,910,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.340844,0
8207,920,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.61843,0
8297,930,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.656372,0
8386,940,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.593401,0
8475,950,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5609856,0
8564,960,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.539833,0
8653,970,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5260286,0
8743,980,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5170116,0
8832,990,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.510231,0
