timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
89,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
179,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
268,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
357,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
447,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
535,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
625,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
718,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
806,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
895,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
984,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1075,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1164,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1254,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1344,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1433,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1521,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1610,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1714,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1803,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1892,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1981,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2071,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2160,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2249,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2338,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2427,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2517,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2606,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2695,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2785,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2874,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2963,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3053,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3143,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3232,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3321,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3411,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3501,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3591,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3680,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3769,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3858,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3948,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4038,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4127,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4217,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4305,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4395,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4485,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4575,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4665,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4751,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4850,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4938,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5028,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5118,570,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5208,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5299,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5389,600,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5478,610,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5567,620,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5655,630,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5745,640,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5834,650,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5923,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6012,670,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6101,680,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.22794837,0.38806152,0,0
6190,690,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.74798584,1.2722015,0,0
6279,700,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.2718649,2.1627502,0,0
6369,710,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.8308034,3.1129608,0,0
6458,720,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.2899852,3.8935547,0,0
6548,730,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.1633625,4.9901886,0,0
6636,740,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.7494075,5.2680817,0,0
6726,750,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.3366556,5.3944855,0,0
6815,760,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.9244423,5.451996,0,0
6904,770,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.6300983,5.4813385,0,0
6994,780,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.2182617,5.491516,0,0
7084,790,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.806497,5.4961243,0,0
7174,800,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.5712137,5.498596,0,0
7263,810,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.9685526,5.499359,0,0
7352,820,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.123564,5.4996643,0,0
7441,830,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.23147,5.499878,0,0
7531,840,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.273369,5.4999084,0,0
7620,850,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.287892,5.4999084,0,0
7709,860,0,0,0,0,0,0,0,8.3,5.5,5.9,0,0,0,8.29448,5.4999084,0,0
7799,870,0,0,0,0,0,0,0,8.3,5.5,5.9,0,0,0,8.298017,5.4999084,0.5050802,0
7887,880,0,0,0,0,0,0,0,8.3,5.5,5.9,0,0,0,8.299094,5.4999084,1.7019176,0
7975,890,0,0,0,0,0,0,0,8.3,5.5,5.9,0,0,0,8.299524,5.4999084,2.8762102,0
8064,900,0,0,0,0,0,0,0,8.3,5.5,5.9,0,0,0,8.299812,5.4999084,4.087825,0
8150,910,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299902,5.4999084,4.8141623,0
8240,920,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299902,5.4999084,4.849372,0
8329,930,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.7294283,0
8417,940,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.664798,0
8506,950,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.60114,0
8596,960,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.5629787,0
8684,970,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.541602,0
8776,980,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.527302,0
8865,990,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.5198774,0
8954,1000,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.515023,0
9043,1010,0,0,0,0,0,1,0,8.3,5.5,4.497204,0,0,1,8.299919,5.4999084,4.511862,0
9132,1020,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299919,5.4999084,4.509473,0
9220,1030,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299919,5.4999084,4.4983387,0
9310,1040,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,3.9109373,0
9398,1050,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,2.4974346,0
9486,1060,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,1.6331577,0
9574,1070,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,1.1634493,0
9663,1080,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,0.6718874,0
9749,1090,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,0.40617466,0
9839,1100,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,0.26812553,0
9927,1110,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.299919,5.4999084,0,0
10016,1120,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.241164,5.399811,0,0
10104,1130,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.918773,4.8515167,0,0
10191,1140,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.551898,4.3651276,0,0
