timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
89,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
177,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
266,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
353,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
441,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
529,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
617,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
707,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
798,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
888,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
976,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1067,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1157,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1246,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1335,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1424,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1513,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1602,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1691,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1780,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1868,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1956,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2046,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2135,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2223,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2311,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2400,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2490,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2579,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2668,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2758,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2846,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2934,330,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3023,340,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3111,350,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3200,360,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3289,370,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3378,380,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3467,390,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3556,400,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3645,410,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3733,420,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3821,430,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3907,440,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3996,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4084,460,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4189,470,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4278,480,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4367,490,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4456,500,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4546,510,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4634,520,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4721,530,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4810,540,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4898,550,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4988,560,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5076,570,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5165,580,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5253,590,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5341,600,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5430,610,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5519,620,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5608,630,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5696,640,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5786,650,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5875,660,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5963,670,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6052,680,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.10524975,0.17936707,0,0
6139,690,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.46639836,0.7935028,0,0
6229,700,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.95135856,1.6179504,0,0
6316,710,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.3816744,2.3494415,0,0
6406,720,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.174557,3.6973267,0,0
6495,730,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.7544987,4.6151886,0,0
6582,740,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.338982,5.097473,0,0
6671,750,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.042933,5.343567,0,0
6761,760,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.689277,5.434204,0,0
6850,770,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.159625,5.464966,0,0
6941,780,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.865335,5.486389,0,0
7030,790,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.5711884,5.494705,0,0
7118,800,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.159442,5.497574,0,0
7212,810,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.7245736,5.498886,0,0
7304,820,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.093441,5.4996033,0,0
7393,830,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.190021,5.4997864,0,0
7482,840,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.257267,5.4999084,0,0
7571,850,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.283404,5.4999084,0,0
7659,860,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.292452,5.4999084,0,0
7749,870,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.296562,5.4999084,0,0
7838,880,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.298663,5.4999084,0,0
7928,890,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299292,5.4999084,0,0
8017,900,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.29974,5.4999084,0,0
8107,910,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8195,920,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8283,930,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8372,940,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8465,950,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8554,960,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8643,970,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8732,980,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8821,990,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8911,1000,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
8999,1010,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9088,1020,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9176,1030,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9264,1040,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9352,1050,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9437,1060,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9526,1070,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9616,1080,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9705,1090,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9793,1100,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9883,1110,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
9971,1120,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
10060,1130,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
10148,1140,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
10236,1150,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
10326,1160,0,0,0,0,0,0,0,8.3,5.5,-1,0,0,0,8.299902,5.4999084,0,0
