timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
158,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
314,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
471,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
629,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
787,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
946,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1104,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1263,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1420,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1578,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1734,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1906,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2064,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2222,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2378,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2537,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2696,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2855,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3013,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3170,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3326,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3481,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3638,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3796,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3954,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4112,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4268,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4424,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4581,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4740,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4897,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5055,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5213,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5369,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5526,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5685,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5839,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5997,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6155,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.6504912,1.1064606,0,0
6314,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.4926327,2.5380707,0,0
6474,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.638029,4.4642334,0,0
6630,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.7494075,5.2680817,0,0
6786,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.9244423,5.451996,0,0
6940,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.982953,5.488373,0,0
7097,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.159442,5.497574,0,0
7252,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.941374,5.4993134,0,0
7409,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.225852,5.4998627,0,0
7564,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.28204,5.4999084,0,0
7719,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.296562,5.4999084,0,0
7876,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299166,5.4999084,1.8496132,0
8033,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299794,5.4999084,3.6991405,0
8189,520,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.61843,0
8344,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.6650124,0
8502,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.575529,0
8657,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.5336533,0
8812,560,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.514432,0
8969,570,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.506774,0
9126,580,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.5032263,0
9281,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299937,5.4999084,4.491558,0
9434,600,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299937,5.4999084,2.954712,0
9592,610,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299937,5.4999084,1.375637,0
