timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
159,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
316,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
475,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
634,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
791,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
950,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1108,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1264,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1423,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1579,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1738,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1895,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2053,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2212,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2367,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2525,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2681,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2839,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2997,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3154,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3311,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3468,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3626,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3785,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3942,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4098,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4256,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4414,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4568,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4727,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4883,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
