timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
154,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
311,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
468,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
626,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
783,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
939,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1098,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1255,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1413,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1569,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1727,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1885,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2044,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2201,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2360,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2519,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2677,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2837,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2994,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3151,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3307,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3463,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3618,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3777,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3934,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4090,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4248,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4406,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4566,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4722,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4880,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5038,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5197,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5354,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5512,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5670,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5828,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5986,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6143,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.46639836,0.7935028,0,0
6302,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.5484799,2.6330261,0,0
6458,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.5798664,4.379364,0,0
6613,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.7494075,5.2680817,0,0
6768,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.8068595,5.443802,0,0
6926,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.865335,5.486389,0,0
7081,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.9241514,5.496689,0,0
7236,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.9685526,5.499359,0,0
7393,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.219766,5.4998474,0,0
7549,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.280568,5.4999084,0,0
7705,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.295288,5.4999084,0,0
7862,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299022,5.4999084,1.5586805,0
8019,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299758,5.4999084,3.5565042,0
8177,520,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.557643,0
8332,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.6728086,0
8488,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.580226,0
8645,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.536643,0
8801,560,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.5157003,0
8959,570,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.5073605,0
9116,580,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299937,5.4999084,4.5034933,0
