timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
157,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
314,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
472,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
629,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
784,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
940,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1098,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1256,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1414,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1571,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1729,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1887,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2045,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2199,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2356,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2514,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2669,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2825,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2983,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3138,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3291,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3449,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3605,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3763,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3921,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4077,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4235,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4394,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4551,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4711,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4868,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5027,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5183,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5341,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5499,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5656,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5813,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5968,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6126,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.3810748,0.64845276,0,0
6284,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.2718649,2.1627502,0,0
6441,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.4057367,4.090332,0,0
6595,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.4561696,5.156143,0,0
6751,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.5129576,5.416687,0,0
6908,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.6889076,5.4827576,0,0
7064,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.7476697,5.495804,0,0
7221,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.7681775,5.4989777,0,0
7376,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.181008,5.499771,0,0
7531,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.27538,5.4999084,0,0
7687,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.294031,5.4999084,0,0
7843,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298555,5.4999084,1.0343075,0
7999,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299705,5.4999084,3.4011745,0
8154,520,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.4193554,0
8308,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.7148848,0
8463,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.598489,0
8619,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.540286,0
8776,560,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.518776,0
8933,570,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.508791,0
9090,580,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.503827,0
9246,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299919,5.4999084,4.5018578,0
