timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
157,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
314,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
470,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
628,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
788,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
946,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1104,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1263,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1420,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1577,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1734,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1893,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2049,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2207,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2365,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2524,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2683,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2840,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2998,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3154,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3312,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3472,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3631,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3791,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3948,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4102,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4257,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4415,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4573,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4728,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4885,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5042,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5201,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5357,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5514,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5673,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5831,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5988,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6146,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.42309928,0.7198944,0,0
6304,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.3266171,2.2558289,0,0
6463,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.46372,4.188904,0,0
6619,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.5147812,5.18219,0,0
6776,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.689277,5.434204,0,0
6933,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.7477164,5.48407,0,0
7089,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.865324,5.496414,0,0
7245,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.8457284,5.4991302,0,0
7401,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.206051,5.499817,0,0
7556,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.277246,5.4999084,0,0
7713,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29448,5.4999084,0,0
7869,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298861,5.4999084,1.2863588,0
8025,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299722,5.4999084,3.4011745,0
8183,520,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.4193554,0
8338,530,0,0,0,0,0,1,0,8.3,5.5,4.557643,0,0,1,8.299902,5.4999084,4.7588825,0
8496,540,0,0,0,0,0,1,0,8.3,5.5,4.557643,0,0,1,8.299902,5.4999084,4.65075,0
8650,550,0,0,0,0,0,1,0,8.3,5.5,4.557643,0,0,1,8.299902,5.4999084,4.605508,0
8806,560,0,0,0,0,0,1,0,8.3,5.5,4.557643,0,0,1,8.299902,5.4999084,4.5830345,0
8961,570,0,0,0,0,0,1,0,8.3,5.5,4.557643,0,0,1,8.299902,5.4999084,4.574089,0
9117,580,0,0,0,0,0,1,0,8.3,5.5,4.557643,0,0,1,8.299902,5.4999084,4.5699406,0
9275,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299902,5.4999084,4.5678806,0
9429,600,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,3.9705658,0
9585,610,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,1.9728518,0
9742,620,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.88198185,0
9896,630,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.38075447,0
10052,640,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0,0
10207,650,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.194598,5.320587,0,0
10362,660,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.451477,4.2827606,0,0
10516,670,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,6.3550344,3.8999023,0,0
10672,680,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,5.3120155,3.8241882,0,0
10827,690,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,4.2570586,3.8058472,0,0
10985,700,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.3679378,3.8012085,0,0
11142,710,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1600056,3.8002625,0,0
11298,720,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,3.1145344,3.8000793,0,0
11455,730,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.103548,3.8000793,0,0
11610,740,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.1007295,3.8000793,1.8519068,0
11765,750,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.100191,3.8000793,5.093546,0
11922,760,1,0,0,0,0,1,0,3.1,3.8,10,1,0,1,3.100119,3.8000793,7.7247143,0
12077,770,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.032564,0
12234,780,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.571853,0
12390,790,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.803324,0
12547,800,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.918356,0
12703,810,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.964137,0
12859,820,0,0,0,0,0,1,0,3.1,3.8,10,0,0,1,3.100119,3.8000793,9.985371,0
13016,830,0,0,0,0,0,0,0,3.1,3.8,0,0,0,1,3.100119,3.8000793,9.994965,1
13172,840,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,8.440595,1
13326,850,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,5.3122663,1
13483,860,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,2.3785067,1
13640,870,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,1.0140324,1
13794,880,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,0.4709339,1
13951,890,0,0,0,0,0,0,0,3.1,3.8,0,0,0,0,3.100119,3.8000793,0.21884918,1
14106,900,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.1041942,3.8070679,0,1
14263,910,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.7505386,4.83844,0,1
14421,920,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.70459,5.3397217,0,1
14576,930,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.679896,5.458008,0,1
14734,940,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.966804,5.4925995,0,1
14889,950,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.902832,5.4981995,0,1
15046,960,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.203861,5.4995728,0,1
15200,970,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.272795,5.499893,0,1
15355,980,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.295575,5.4999084,0,1
15512,990,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29895,5.4999084,1.2864494,1
15667,1000,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29974,5.4999084,3.401208,1
15823,1010,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.419379,1
15979,1020,0,0,0,0,0,1,0,8.3,5.5,4.557667,0,0,1,8.299902,5.4999084,4.7589016,1
16138,1030,0,0,0,0,0,1,0,8.3,5.5,4.557667,0,0,1,8.299902,5.4999084,4.6547604,1
16293,1040,0,0,0,0,0,1,0,8.3,5.5,4.557667,0,0,1,8.299902,5.4999084,4.60402,1
16449,1050,0,0,0,0,0,1,0,8.3,5.5,4.557667,0,0,1,8.299902,5.4999084,4.583111,1
16601,1060,0,0,0,0,0,1,0,8.3,5.5,4.557667,0,0,1,8.299902,5.4999084,4.574132,1
16759,1070,0,0,0,0,0,1,0,8.3,5.5,4.557667,0,0,1,8.299902,5.4999084,4.569974,1
16914,1080,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299902,5.4999084,4.5678997,1
17071,1090,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,3.9705849,1
17227,1100,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,1.9728613,1
17379,1110,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.92004776,1
17536,1120,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.38075447,1
17692,1130,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0,1
17846,1140,1,0,0,0,0,1,0,4.28,6.7,0,1,0,1,8.194598,5.6793213,0,1
18004,1150,1,0,0,0,0,1,0,4.28,6.7,0,1,0,1,7.451495,6.430176,0,1
18161,1160,1,0,0,0,0,1,0,4.28,6.7,0,1,0,1,6.3550525,6.64415,0,1
18314,1170,1,0,0,0,0,1,0,4.28,6.7,0,1,0,1,5.3120155,6.686493,0,1
18471,1180,1,0,0,0,0,1,0,4.28,6.7,0,1,0,1,4.545683,6.6967316,0,1
18627,1190,1,0,0,0,0,1,0,4.28,6.7,0,1,0,1,4.334968,6.6993256,0,1
18786,1200,1,0,0,0,0,1,0,4.28,6.7,0,1,0,1,4.293339,6.699829,0,1
18943,1210,1,0,0,0,0,1,0,4.28,6.7,10,1,0,1,4.2829804,6.6999207,0,1
19098,1220,1,0,0,0,0,1,0,4.28,6.7,10,1,0,1,4.280611,6.6999207,2.1585846,1
19253,1230,1,0,0,0,0,1,0,4.28,6.7,10,1,0,1,4.280144,6.6999207,5.4930353,1
19410,1240,1,0,0,0,0,1,0,4.28,6.7,10,1,0,1,4.2801085,6.6999207,7.909298,1
19565,1250,1,0,0,0,0,1,0,4.28,6.7,10,1,0,1,4.2801085,6.6999207,9.110155,1
19722,1260,0,0,0,0,0,1,0,4.28,6.7,10,0,0,1,4.2801085,6.6999207,9.588108,1
19875,1270,0,0,0,0,0,1,0,4.28,6.7,10,0,0,1,4.2801085,6.6999207,9.809933,1
20032,1280,0,0,0,0,0,1,0,4.28,6.7,10,0,0,1,4.2801085,6.6999207,9.912882,1
20188,1290,0,0,0,0,0,1,0,4.28,6.7,10,0,0,1,4.2801085,6.6999207,9.965644,1
20343,1300,0,0,0,0,0,1,0,4.28,6.7,10,0,0,1,4.2801085,6.6999207,9.985156,1
20498,1310,0,0,0,0,0,0,0,4.28,6.7,0,0,0,1,4.2801085,6.6999207,9.9942255,2
20652,1320,0,0,0,0,0,0,0,4.28,6.7,0,0,0,0,4.2801085,6.6999207,8.964243,2
20809,1330,0,0,0,0,0,0,0,4.28,6.7,0,0,0,0,4.2801085,6.6999207,5.706191,2
20965,1340,0,0,0,0,0,0,0,4.28,6.7,0,0,0,0,4.2801085,6.6999207,2.7027702,2
21126,1350,0,0,0,0,0,0,0,4.28,6.7,0,0,0,0,4.2801085,6.6999207,1.254673,2
21284,1360,0,0,0,0,0,0,0,4.28,6.7,0,0,0,0,4.2801085,6.6999207,0.51259995,2
21442,1370,0,0,0,0,0,0,0,4.28,6.7,0,0,0,0,4.2801085,6.6999207,0.23806095,2
21596,1380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.2801085,6.6999207,0,2
21753,1390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.746453,6.006607,0,2
21908,1400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.661693,5.6227417,0,2
22064,1410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.6857553,5.5297394,0,2
22219,1420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.8011365,5.506134,0,2
22377,1430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.188423,5.5013733,0,2
22531,1440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.268379,5.5003967,0,2
22688,1450,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.293439,5.5000916,0,2
22843,1460,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298681,5.5000916,1.0344839,2
23000,1470,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299686,5.5000916,3.2321024,2
23158,1480,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.5000916,4.25539,2
23315,1490,0,0,0,0,0,1,0,8.3,5.5,4.4914865,0,0,1,8.299902,5.5000916,4.7319984,2
23470,1500,0,0,0,0,0,1,0,8.3,5.5,4.4914865,0,0,1,8.299919,5.5000916,4.615679,2
23625,1510,0,0,0,0,0,1,0,8.3,5.5,4.4914865,0,0,1,8.299919,5.5000916,4.549384,2
23781,1520,0,0,0,0,0,1,0,8.3,5.5,4.4914865,0,0,1,8.299919,5.5000916,4.52302,2
23937,1530,0,0,0,0,0,1,0,8.3,5.5,4.4914865,0,0,1,8.299919,5.5000916,4.5099163,2
24092,1540,0,0,0,0,0,1,0,8.3,5.5,4.4914865,0,0,1,8.299919,5.5000916,4.5051003,2
24248,1550,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299919,5.5000916,4.5022774,2
24404,1560,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.5000916,3.9046717,2
