timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
158,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
315,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
472,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
630,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
805,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
961,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1116,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1274,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1433,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1591,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1748,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1920,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2076,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2232,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2392,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2548,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2705,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2862,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3017,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3174,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3330,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3486,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3642,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3799,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3954,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4110,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4270,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4427,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4583,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4739,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4897,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5051,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5209,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5369,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5526,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5685,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5842,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6002,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6161,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.5564252,0.9465637,0,0
6319,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.6045604,2.728363,0,0
6477,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.696246,4.542679,0,0
6633,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.7494075,5.2680817,0,0
6791,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.9244423,5.451996,0,0
6946,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.982953,5.488373,0,0
7102,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.0418053,5.497162,0,0
7256,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.9936666,5.499405,0,0
7413,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.225852,5.4998627,0,0
7567,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.283404,5.4999084,0,0
7724,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.295288,5.4999084,0,0
7880,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299166,5.4999084,1.8496132,0
8037,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299758,5.4999084,3.5565042,0
8193,520,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.557643,0
8348,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.665594,0
8503,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.576235,0
8657,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5385885,0
8814,560,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5158434,0
8970,570,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5074224,0
9129,580,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5032454,0
9287,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299902,5.4999084,4.5014668,0
9442,600,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,3.2164335,0
9596,610,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,1.6299534,0
