timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
158,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
316,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
473,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
634,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
792,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
950,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1107,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1266,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1420,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1577,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1737,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1910,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2068,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2226,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2385,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2544,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2701,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2860,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3018,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3174,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3332,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3489,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3647,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3806,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3965,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4122,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4279,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4437,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4592,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4751,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4910,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5068,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5227,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5383,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5538,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5697,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5854,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6012,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6170,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.5564252,0.9465637,0,0
6328,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.6045604,2.728363,0,0
6486,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.638029,4.4642334,0,0
6644,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.8667927,5.30188,0,0
6804,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.9244423,5.451996,0,0
6962,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.982953,5.488373,0,0
7117,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.159442,5.497574,0,0
7275,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.9936666,5.499405,0,0
7433,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.236658,5.499893,0,0
7591,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.28466,5.4999084,0,0
7747,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.296275,5.4999084,0,0
7903,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299237,5.4999084,2.1316671,0
8061,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.2998295,5.4999084,3.89153,0
8219,520,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.6469355,0
8375,530,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.6121645,0
8532,540,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299955,5.4999084,4.532447,0
8688,550,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299955,5.4999084,4.496217,0
8845,560,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299955,5.4999084,4.479413,0
9002,570,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299955,5.4999084,4.4710684,0
9157,580,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299955,5.4999084,4.467745,0
9313,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299955,5.4999084,4.200444,0
9469,600,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299955,5.4999084,2.3626947,0
9625,610,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299955,5.4999084,1.011591,0
