timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
158,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
314,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
469,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
624,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
781,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
937,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1095,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1253,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1411,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1568,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1726,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1901,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2058,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2216,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2376,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2532,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2690,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2851,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3009,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3167,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3323,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3481,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3640,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3799,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3957,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4114,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4273,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4432,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4590,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4747,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4906,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5066,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5224,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5382,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5539,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5698,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5856,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6013,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6173,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.5564252,0.9465637,0,0
6331,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.4926327,2.5380707,0,0
6489,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.638029,4.4642334,0,0
6643,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.7494075,5.2680817,0,0
6798,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.8068595,5.443802,0,0
6953,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.982953,5.488373,0,0
7110,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.0418053,5.497162,0,0
7264,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.941374,5.4993134,0,0
7423,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.225852,5.4998627,0,0
7581,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.27897,5.4999084,0,0
7736,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.295647,5.4999084,0,0
7890,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299022,5.4999084,1.7019176,0
8047,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299794,5.4999084,3.7660217,0
8200,520,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.588685,0
8356,530,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.639573,0
8512,540,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.5425224,0
8667,550,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299937,5.4999084,4.4973326,0
8821,560,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299937,5.4999084,4.479933,0
8974,570,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299937,5.4999084,4.471855,0
9129,580,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299937,5.4999084,4.468107,0
9286,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299937,5.4999084,4.4563484,0
9442,600,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299937,5.4999084,2.9222775,0
9599,610,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299937,5.4999084,1.4809847,0
