timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
159,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
318,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
477,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
635,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
791,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
949,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1105,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1264,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1420,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1580,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1738,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1897,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2055,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2213,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2372,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2530,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2689,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2847,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3006,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3165,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3321,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3476,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3633,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3792,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
