timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
166,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
321,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
479,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
637,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
792,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
952,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1111,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1268,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1424,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1583,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1740,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1897,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
2054,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
2210,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
2368,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
2525,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
2682,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
2839,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
2998,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
3155,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
3311,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
3469,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
3623,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
3778,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
3934,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
4091,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
4247,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
4406,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
4564,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
4722,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
4882,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
5039,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3
5194,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
5354,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
5512,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
5669,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
5827,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
5983,380,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
6141,390,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
6298,400,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
6453,410,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
6609,420,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
6763,430,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
6918,440,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
7076,450,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
7231,460,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
7384,470,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
7540,480,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
7694,490,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
7851,500,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
8005,510,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
8130,518,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
