timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
153,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
309,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
466,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
623,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
777,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
934,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1091,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1246,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1404,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1563,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1721,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1880,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2036,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2193,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2350,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2508,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2664,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2823,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2981,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3140,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3294,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3451,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3607,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3765,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3924,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4082,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4239,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4398,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4555,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
