timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
151,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
307,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
466,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
623,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
781,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
937,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1095,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1253,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1411,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1566,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1726,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1884,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2042,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2215,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2517,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2758,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2913,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3072,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3231,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3389,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3546,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3703,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3859,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4018,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4174,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4349,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4528,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4683,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4841,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4999,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5157,310,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5316,320,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5476,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
