timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
160,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
316,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
476,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
634,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
788,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
943,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1100,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1258,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1412,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1569,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1726,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1885,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2043,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2201,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2358,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2515,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2670,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2828,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2986,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3143,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3297,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3452,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3607,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3764,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3921,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4079,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4235,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4395,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4551,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4706,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4862,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5019,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5175,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5334,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5489,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5646,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5803,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5963,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6121,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.46639836,0.7935028,0,0
