timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
160,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
315,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
472,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
629,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
786,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
943,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1102,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1257,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1414,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1573,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1730,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1886,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2042,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2201,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2358,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2515,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2672,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2830,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2989,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3145,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3302,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3457,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3614,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3769,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3928,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4082,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4241,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4398,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4555,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4710,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4869,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5026,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5182,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5341,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5498,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5657,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5816,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5974,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6132,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.3810748,0.64845276,0,0
