timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
154,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
308,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
465,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
624,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
780,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
938,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1096,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1255,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1413,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1573,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1731,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1905,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2059,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2216,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2373,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2532,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2692,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2849,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3005,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3163,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3317,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3475,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3630,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3785,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3943,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4099,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4254,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4412,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4568,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4723,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4882,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5038,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5197,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5353,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5508,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5665,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5821,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5977,380,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,0,0,0,0
6132,390,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,0.3012803,0.5127716,0,0
6290,400,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,1.4370189,2.4435272,0,0
6443,410,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,2.347825,3.9918823,0,0
6598,420,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,3.5147812,5.18219,0,0
6757,430,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,4.5717306,5.422989,0,0
6913,440,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,5.7477164,5.48407,0,0
7068,450,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,6.865324,5.496414,0,0
7225,460,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,7.9241405,5.4991302,0,0
7381,470,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,9.100611,5.499817,0,0
7538,480,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,9.70599,5.4999084,0,0
7694,490,0,0,0,0,0,0,0,9.9,5.5,0,0,0,0,9.853049,5.4999084,0,0
7849,500,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.890281,5.4999084,0,0
8006,510,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.897695,5.4999084,0.59961796,0
8160,520,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899453,5.4999084,2.848525,0
8317,530,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899884,5.4999084,4.163661,0
8472,540,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899902,5.4999084,4.817252,0
8629,550,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899902,5.4999084,5.086794,0
8787,560,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899902,5.4999084,5.2024794,0
8942,570,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899902,5.4999084,5.2599716,0
9099,580,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899795,5.4999084,5.280628,0
9253,590,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899615,5.4999084,5.2890873,0
9409,600,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899436,5.4999084,5.292616,0
9564,610,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.89931,5.4999084,5.294199,0
9721,620,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899345,5.4999084,5.294776,0
9876,630,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899345,5.4999084,5.2950478,0
10034,640,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.8993635,5.4999084,5.295143,0
10191,650,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899345,5.4999084,5.2951765,0
10346,660,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899345,5.4999084,5.295062,0
10502,670,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.89931,5.4999084,5.2949905,0
10657,680,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899328,5.4999084,5.2950287,0
10812,690,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.89931,5.4999084,5.295,0
10967,700,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.8993635,5.4999084,5.2950525,0
11124,710,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899345,5.4999084,5.295248,0
11280,720,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.8993635,5.4999084,5.2952433,0
11435,730,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899328,5.4999084,5.2951765,0
11593,740,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899382,5.4999084,5.295267,0
11750,750,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899328,5.4999084,5.2952814,0
11905,760,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899328,5.4999084,5.2952623,0
12060,770,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899345,5.4999084,5.295186,0
12217,780,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.89931,5.4999084,5.295062,0
12373,790,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.89931,5.4999084,5.2949476,0
12529,800,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.89931,5.4999084,5.2950096,0
12685,810,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899328,5.4999084,5.2950716,0
12843,820,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899345,5.4999084,5.2951527,0
13001,830,0,0,0,0,0,0,0,9.9,5.5,5.3,0,0,0,9.899345,5.4999084,5.295205,0
