timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
152,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
306,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
465,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
624,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
778,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
938,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1095,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1252,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1410,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1569,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1727,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1885,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2042,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2201,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2360,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2519,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2677,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2834,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2993,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3152,200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3309,210,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3466,220,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3622,230,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3780,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3937,250,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4094,260,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4253,270,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4411,280,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4570,290,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4727,300,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4885,310,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5042,320,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5199,330,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
5357,340,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.6988346,1.1886597,0,0
5515,350,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.6608564,2.824051,0,0
5673,360,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.8128052,4.682205,0,0
5830,370,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.8667927,5.30188,0,0
5989,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.9244423,5.451996,0,0
6148,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.159435,5.490814,0,0
6305,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.2182508,5.497757,0,0
6460,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.016878,5.4994507,0,0
6616,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.241451,5.4999084,0,0
6772,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.285828,5.4999084,0,0
6930,440,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.296562,5.4999084,0,0
7084,450,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299292,5.4999084,2.1316671,0
7242,460,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299848,5.4999084,3.89153,0
7399,470,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.6469355,0
7553,480,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.5982456,0
7709,490,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.517021,0
7866,500,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.4890594,0
8022,510,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.4760847,0
8178,520,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.4696474,0
8334,530,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.4670963,0
