timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
152,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
307,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
464,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
620,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
778,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
936,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1094,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1253,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1410,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1566,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1725,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1881,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2038,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2196,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2356,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2513,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2670,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2823,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2982,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3138,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3294,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3449,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3605,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3763,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3920,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4079,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4237,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4394,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4551,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4709,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4867,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5025,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5182,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5338,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5496,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5655,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5811,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5970,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6128,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.3012803,0.5127716,0,0
6284,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.2718649,2.1627502,0,0
6442,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.174557,3.6973267,0,0
6597,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.4561696,5.156143,0,0
6753,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.395411,5.402481,0,0
6909,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.571289,5.4798126,0,0
7063,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.688843,5.495468,0,0
7219,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.808479,5.499054,0,0
7375,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.181008,5.499771,0,0
7532,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.271179,5.4999084,0,0
7688,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.293026,5.4999084,0,0
7844,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298555,5.4999084,1.0343075,0
7999,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299668,5.4999084,3.2320118,0
8155,520,0,0,0,0,0,0,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.456172,0
8311,530,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.62307,0
8466,540,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.538231,0
8624,550,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.4988966,0
8779,560,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.4793606,0
8935,570,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.4715977,0
9090,580,0,0,0,0,0,1,0,8.3,5.5,4.456172,0,0,1,8.299902,5.4999084,4.467864,0
9246,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299902,5.4999084,4.4662666,0
9401,600,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,3.1811333,0
9557,610,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,1.4809418,0
9712,620,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.752635,0
9868,630,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299902,5.4999084,0.32563686,0
10023,640,1,0,0,0,0,1,0,4.98,3.8,0,1,0,1,8.299902,5.4999084,0,0
10181,650,1,0,0,0,0,1,0,4.98,3.8,0,1,0,1,7.9594154,4.920624,0,0
10337,660,1,0,0,0,0,1,0,4.98,3.8,0,1,0,1,7.082484,4.0781555,0,0
10493,670,1,0,0,0,0,1,0,4.98,3.8,0,1,0,1,5.9521303,3.8575592,0,0
10651,680,1,0,0,0,0,1,0,4.98,3.8,0,1,0,1,5.2257223,3.813919,0,0
10809,690,1,0,0,0,0,1,0,4.98,3.8,0,1,0,1,5.0395293,3.80336,0,0
10968,700,1,0,0,0,0,1,0,4.98,3.8,0,1,0,1,4.9923167,3.8006897,0,0
