timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
160,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
314,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
470,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
629,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
788,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
947,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1104,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1262,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1420,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1576,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1732,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1892,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2048,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2203,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2361,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2516,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2674,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2831,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2988,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3145,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3302,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3459,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3618,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3775,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3931,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4088,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4242,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4399,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4556,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4712,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4869,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5025,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5181,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5338,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5495,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5653,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5812,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5970,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6124,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.46639836,0.7935028,0,0
6278,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.2718649,2.1627502,0,0
6435,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.4057367,4.090332,0,0
6591,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.573411,5.206253,0,0
6746,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.630504,5.4288177,0,0
6903,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.571289,5.4798126,0,0
7057,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.7476697,5.495804,0,0
7211,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.8457284,5.4991302,0,0
7365,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.19835,5.4998016,0,0
7521,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.271179,5.4999084,0,0
7677,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.294031,5.4999084,0,0
7831,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298771,5.4999084,1.0343122,0
7989,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299705,5.4999084,3.2320166,0
8145,520,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.2553425,0
8303,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.7148895,0
8462,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.6069193,0
8620,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.5401573,0
8776,560,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.518714,0
8934,570,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.5087624,0
9088,580,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.5038223,0
9244,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299919,5.4999084,4.5018578,0
9401,600,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,3.904519,0
9559,610,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,1.6299725,0
9716,620,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,0.7609558,0
9874,630,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,0.34314156,0
10030,640,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,8.299919,5.4999084,0,0
10185,650,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,8.071899,5.1118927,0,0
10339,660,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,7.348543,3.88414,0,0
10495,670,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,6.240432,3.0481567,0,0
10652,680,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,5.195115,2.8828583,0,0
10810,690,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,3.9633358,2.8401184,0,0
10967,700,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,3.3115342,2.8324585,0,0
11122,710,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,3.1437953,2.8305054,0,0
11279,720,1,0,0,0,0,1,0,3.1,2.83,0,1,0,1,3.112416,2.8301392,0,0
11437,730,1,0,0,0,0,1,0,3.1,2.83,10,1,0,1,3.1025786,2.8300934,0,0
11594,740,1,0,0,0,0,1,0,3.1,2.83,10,1,0,1,3.100622,2.8300934,2.1599293,0
