timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
152,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
310,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
468,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
623,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
779,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
936,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1091,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1246,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1400,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1555,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1711,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1867,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2024,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2180,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2337,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2494,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2647,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2802,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2959,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3114,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3272,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3429,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3585,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3739,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3895,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4052,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4208,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4364,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4520,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4675,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4830,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4988,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5144,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5299,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5456,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5610,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5766,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5922,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6080,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.16217402,0.27619934,0,0
6237,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.95135856,1.6179504,0,0
6394,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.9449033,3.3069,0,0
6549,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.1048584,4.94841,0,0
6705,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.219145,5.37648,0,0
6859,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.159625,5.464966,0,0
7015,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.335916,5.492752,0,0
7171,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.3947325,5.49823,0,0
7327,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.109095,5.499634,0,0
7483,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.249978,5.4999084,0,0
7637,490,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.289651,5.4999084,0,0
7795,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.297478,5.4999084,0.26735306,0
7950,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299489,5.4999084,2.6286983,0
8107,520,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.060817,0
8264,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.725504,0
8419,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.654641,0
8574,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.571829,0
