timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
152,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
309,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
468,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
624,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
782,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
940,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1096,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1252,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1411,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1567,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1721,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1880,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2037,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2194,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2350,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2505,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2663,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2820,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2978,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3136,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3293,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3448,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3606,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3764,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3923,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4081,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4236,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4394,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4551,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4708,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4866,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5026,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5184,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5344,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5503,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5659,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5818,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5975,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6131,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.3810748,0.64845276,0,0
6285,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.2718649,2.1627502,0,0
6441,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.2899852,3.8935547,0,0
6600,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.5147812,5.18219,0,0
6757,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.5717306,5.422989,0,0
6912,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.6300983,5.4813385,0,0
7068,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.806497,5.4961243,0,0
7225,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.808479,5.499054,0,0
7379,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.181008,5.499771,0,0
7534,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.271179,5.4999084,0,0
7691,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29448,5.4999084,0,0
7847,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298663,5.4999084,1.0343075,0
8004,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299686,5.4999084,3.2320118,0
8160,520,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.4193554,0
8315,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.715147,0
8471,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.5989513,0
8627,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.544072,0
