timestamp_ms,execution_count,partConveyorForward,partConveyorBackward,boxConveyorForward,boxConveyorBackward,exitConveyor,grab,c,spX,spY,spZ,partAtPlace,boxAtPlace,detected,posX,posY,posZ,counter
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
150,10,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
305,20,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
462,30,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
619,40,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
775,50,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
933,60,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1088,70,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1243,80,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1397,90,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1554,100,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1712,110,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1869,120,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2024,130,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2184,140,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2341,150,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2498,160,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2657,170,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2813,180,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2971,190,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3128,200,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3286,210,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3442,220,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3599,230,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3756,240,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3916,250,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4074,260,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4231,270,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4389,280,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4547,290,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4704,300,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4864,310,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5023,320,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5182,330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5339,340,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5496,350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5652,360,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5811,370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5969,380,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0,0,0,0
6125,390,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,0.3810748,0.64845276,0,0
6281,400,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,1.2718649,2.1627502,0,0
6437,410,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,2.46372,4.188904,0,0
6591,420,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,3.5147812,5.18219,0,0
6747,430,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,4.5717306,5.422989,0,0
6904,440,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,5.6300983,5.4813385,0,0
7060,450,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,6.806497,5.4961243,0,0
7217,460,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,7.808479,5.499054,0,0
7372,470,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.181008,5.499771,0,0
7530,480,0,0,0,0,0,0,0,8.3,5.5,0,0,0,0,8.277246,5.4999084,0,0
7686,490,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.29448,5.4999084,0,0
7839,500,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.298663,5.4999084,0.8043337,0
7994,510,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299632,5.4999084,2.84719,0
8152,520,0,0,0,0,0,0,0,8.3,5.5,5.3,0,0,0,8.299902,5.4999084,4.340844,0
8307,530,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299902,5.4999084,4.7562313,0
8465,540,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.602704,0
8621,550,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.543824,0
8776,560,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.5204115,0
8932,570,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.5103884,0
9087,580,0,0,0,0,0,1,0,8.3,5.5,4.4914484,0,0,1,8.299919,5.4999084,4.504509,0
9244,590,0,0,0,0,0,1,0,8.3,5.5,0,0,0,1,8.299919,5.4999084,4.5021677,0
9401,600,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,3.8046646,0
9556,610,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,1.8513346,0
9712,620,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,0.863657,0
9868,630,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,0.37294865,0
10024,640,1,0,0,0,0,1,0,8.3,5.5,0,1,0,1,8.299919,5.4999084,0,0
10179,650,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,8.194598,5.320587,0,0
10338,660,1,0,0,0,0,1,0,3.1,3.8,0,1,0,1,7.348543,4.2124023,0,0
