manipulation,recovery_class,recovery_script,picking_state,grab_state,counter,exit_box,recovery_module,reason
PickPlaceXYZ_spX_8_3f_to_7_8f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_7_8f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_7_8f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_7_9f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_7_9f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_7_9f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_8_0f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_8_0f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_8_0f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_8_1f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_8_1f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_8_1f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_8_2f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_8_2f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_8_2f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_8_4f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_8_4f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_8_4f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_8_5f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_8_5f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_8_5f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_8_6f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_8_6f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_8_6f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_8_7f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_8_7f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_8_7f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_8_3f_to_8_8f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_8_8f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_8_8f_L98.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 4 configured grab-release operations before benign resume.
