manipulation,recovery_class,recovery_script,picking_state,grab_state,counter,exit_box,recovery_module,reason
PickPlaceXYZ_pickingState_State2_to_State4_L104,Recovery_PickPlaceXYZ_pickingState_State2_to_State4_L104,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_pickingState_State2_to_State4_L104.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_pickingState_State3_to_State4_L110,Recovery_PickPlaceXYZ_pickingState_State3_to_State4_L110,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_pickingState_State3_to_State4_L110.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_detected_false_L175,Recovery_PickPlaceXYZ_detected_false_L175,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_detected_false_L175.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spY_5_5f_to_6_9f_L99,Recovery_PickPlaceXYZ_spY_5_5f_to_6_9f_L99,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_5_5f_to_6_9f_L99.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spY_5_5f_to_7_0f_L99,Recovery_PickPlaceXYZ_spY_5_5f_to_7_0f_L99,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_5_5f_to_7_0f_L99.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spZ_0_0f_to_10f_L195,Recovery_PickPlaceXYZ_spZ_0_0f_to_10f_L195,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spZ_0_0f_to_10f_L195.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spZ_0_0f_to_11f_L195,Recovery_PickPlaceXYZ_spZ_0_0f_to_11f_L195,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spZ_0_0f_to_11f_L195.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spZ_0_0f_to_6f_L195,Recovery_PickPlaceXYZ_spZ_0_0f_to_6f_L195,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spZ_0_0f_to_6f_L195.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spZ_0_0f_to_7f_L195,Recovery_PickPlaceXYZ_spZ_0_0f_to_7f_L195,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spZ_0_0f_to_7f_L195.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spZ_0_0f_to_8f_L195,Recovery_PickPlaceXYZ_spZ_0_0f_to_8f_L195,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spZ_0_0f_to_8f_L195.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spZ_0_0f_to_9f_L195,Recovery_PickPlaceXYZ_spZ_0_0f_to_9f_L195,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spZ_0_0f_to_9f_L195.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spX_8_3f_to_10_0f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_10_0f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_10_0f_L98.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
PickPlaceXYZ_spX_8_3f_to_6_8f_L98,Recovery_PickPlaceXYZ_spX_8_3f_to_6_8f_L98,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_8_3f_to_6_8f_L98.cs,State0,State0,0,0,MisalignmentBeltConveyor,Stage 1 state identification skipped for label 'misalignment_beltconveyor'; defer to recovery module identification. Stage 2 recovery module: misalignment_beltconveyor module selected. Misalignment belt conveyor counter override: counter = 0.
