manipulation,recovery_class,recovery_script,picking_state,grab_state,counter,exit_box,recovery_module,reason
PickPlaceXYZ_c_L126,Recovery_PickPlaceXYZ_c_L126,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_c_L126.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 1 configured grab-release operations before benign resume.
PickPlaceXYZ_c_L96,Recovery_PickPlaceXYZ_c_L96,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_c_L96.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 1 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_2_0f_L116,Recovery_PickPlaceXYZ_spX_3_1f_to_2_0f_L116,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_2_0f_L116.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_3_0f_L116,Recovery_PickPlaceXYZ_spX_3_1f_to_3_0f_L116,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_3_0f_L116.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_4_0f_L116,Recovery_PickPlaceXYZ_spX_3_1f_to_4_0f_L116,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_4_0f_L116.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_5_0f_L116,Recovery_PickPlaceXYZ_spX_3_1f_to_5_0f_L116,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_5_0f_L116.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_2_0f_L121,Recovery_PickPlaceXYZ_spX_3_1f_to_2_0f_L121,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_2_0f_L121.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_3_0f_L121,Recovery_PickPlaceXYZ_spX_3_1f_to_3_0f_L121,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_3_0f_L121.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_4_0f_L121,Recovery_PickPlaceXYZ_spX_3_1f_to_4_0f_L121,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_4_0f_L121.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_5_0f_L121,Recovery_PickPlaceXYZ_spX_3_1f_to_5_0f_L121,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_5_0f_L121.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_2_0f_L128,Recovery_PickPlaceXYZ_spX_3_1f_to_2_0f_L128,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_2_0f_L128.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 1 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_3_0f_L128,Recovery_PickPlaceXYZ_spX_3_1f_to_3_0f_L128,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_3_0f_L128.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 1 configured grab-release operations before benign resume.
PickPlaceXYZ_spX_3_1f_to_4_0f_L128,Recovery_PickPlaceXYZ_spX_3_1f_to_4_0f_L128,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spX_3_1f_to_4_0f_L128.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 1 configured grab-release operations before benign resume.
PickPlaceXYZ_spY_3_8f_to_2_0f_L117,Recovery_PickPlaceXYZ_spY_3_8f_to_2_0f_L117,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_3_8f_to_2_0f_L117.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spY_3_8f_to_3_0f_L117,Recovery_PickPlaceXYZ_spY_3_8f_to_3_0f_L117,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_3_8f_to_3_0f_L117.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spY_6_7f_to_7_0f_L122,Recovery_PickPlaceXYZ_spY_6_7f_to_7_0f_L122,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_6_7f_to_7_0f_L122.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
PickPlaceXYZ_spY_6_7f_to_8_0f_L122,Recovery_PickPlaceXYZ_spY_6_7f_to_8_0f_L122,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_6_7f_to_8_0f_L122.cs,State0,State0,0,0,MisalignmentPallet,Stage 1 state identification skipped for label 'misalignment_pallet'; defer to recovery module identification. Stage 2 recovery module: misalignment_pallet module selected. Misalignment pallet recovery will run 3 configured grab-release operations before benign resume.
