manipulation,recovery_class,recovery_script,picking_state,grab_state,counter,exit_box,recovery_module,reason
PickPlaceXYZ_grabState_State1_to_State0_L103,Recovery_PickPlaceXYZ_grabState_State1_to_State0_L103,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_grabState_State1_to_State0_L103.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_grabState_State1_to_State2_L103,Recovery_PickPlaceXYZ_grabState_State1_to_State2_L103,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_grabState_State1_to_State2_L103.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_grabState_State1_to_State3_L103,Recovery_PickPlaceXYZ_grabState_State1_to_State3_L103,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_grabState_State1_to_State3_L103.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_grabState_State2_to_State0_L178,Recovery_PickPlaceXYZ_grabState_State2_to_State0_L178,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_grabState_State2_to_State0_L178.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_grabState_State2_to_State3_L178,Recovery_PickPlaceXYZ_grabState_State2_to_State3_L178,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_grabState_State2_to_State3_L178.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_pickingState_State1_to_State2_L90,Recovery_PickPlaceXYZ_pickingState_State1_to_State2_L90,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_pickingState_State1_to_State2_L90.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_pickingState_State1_to_State3_L90,Recovery_PickPlaceXYZ_pickingState_State1_to_State3_L90,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_pickingState_State1_to_State3_L90.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_pickingState_State1_to_State4_L90,Recovery_PickPlaceXYZ_pickingState_State1_to_State4_L90,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_pickingState_State1_to_State4_L90.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_detected_neg_L175,Recovery_PickPlaceXYZ_detected_neg_L175,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_detected_neg_L175.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_detected_true_L175,Recovery_PickPlaceXYZ_detected_true_L175,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_detected_true_L175.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0. Underflow continuation: resume from State (0, 0) after pallet reaches loading area."
PickPlaceXYZ_grab_L148,Recovery_PickPlaceXYZ_grab_L148,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_grab_L148.cs,State3,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is true, resume from State (3, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
PickPlaceXYZ_grab_L183,Recovery_PickPlaceXYZ_grab_L183,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_grab_L183.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is false, resume from State (0, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
PickPlaceXYZ_pickingState_State0_to_State2_L160,Recovery_PickPlaceXYZ_pickingState_State0_to_State2_L160,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_pickingState_State0_to_State2_L160.cs,State0,State0,1,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is false, resume from State (0, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
PickPlaceXYZ_pickingState_State0_to_State3_L160,Recovery_PickPlaceXYZ_pickingState_State0_to_State3_L160,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_pickingState_State0_to_State3_L160.cs,State0,State0,1,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is false, resume from State (0, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
PickPlaceXYZ_pickingState_State0_to_State4_L160,Recovery_PickPlaceXYZ_pickingState_State0_to_State4_L160,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_pickingState_State0_to_State4_L160.cs,State0,State0,1,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is false, resume from State (0, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
PickPlaceXYZ_counter_3_L83,Recovery_PickPlaceXYZ_counter_3_L83,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_counter_3_L83.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is false, resume from State (0, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
PickPlaceXYZ_spY_5_5f_to_6_6f_L99,Recovery_PickPlaceXYZ_spY_5_5f_to_6_6f_L99,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_5_5f_to_6_6f_L99.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is false, resume from State (0, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
PickPlaceXYZ_spY_5_5f_to_6_8f_L99,Recovery_PickPlaceXYZ_spY_5_5f_to_6_8f_L99,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_5_5f_to_6_8f_L99.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is false, resume from State (0, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
PickPlaceXYZ_spY_5_5f_to_6_7f_L99,Recovery_PickPlaceXYZ_spY_5_5f_to_6_7f_L99,D:\Code\factoryio-sdk-master\factoryio-sdk-master\samples\Controllers\Recovery\Recovery_PickPlaceXYZ_spY_5_5f_to_6_7f_L99.cs,State0,State0,0,0,Underflow,"Stage 1 state identification skipped for label 'underflow'; defer to recovery module identification. Stage 2 recovery module: underflow module selected. Underflow state override: grab is false, resume from State (0, 0). Underflow counter override: counter = 0. Underflow exitBox override: exitBox = 0."
