manipulation,split,label,recovery_module,state_identification_ms,recovery_module_identification_ms,script_write_ms,compilation_load_ms,recovery_execution_ms
PickPlaceXYZ_detected_neg_L175,testing,underflow,Underflow,0.580,45.371,1.660,2214.350,5652.000
PickPlaceXYZ_detected_true_L175,testing,underflow,Underflow,0.002,15.505,0.423,1296.953,4718.000
PickPlaceXYZ_grabState_State1_to_State2_L103,testing,underflow,Underflow,0.002,13.073,0.330,1294.158,4687.000
PickPlaceXYZ_grabState_State2_to_State3_L178,testing,underflow,Underflow,0.002,19.602,0.408,1278.150,4683.000
PickPlaceXYZ_pickingState_State0_to_State2_L160,testing,underflow,Underflow,0.425,66.562,1.602,1273.852,986.000
PickPlaceXYZ_spY_5_5f_to_4_4f_L99,testing,underflow,Underflow,0.417,41.054,1.492,1171.531,4622.000
PickPlaceXYZ_counter_3_L83,training,underflow,Underflow,0.421,45.913,1.755,1271.023,4673.000
PickPlaceXYZ_grab_L148,training,underflow,Underflow,0.003,17.305,0.310,1297.967,4717.000
PickPlaceXYZ_grab_L183,training,underflow,Underflow,0.002,11.925,0.397,1292.818,4688.000
PickPlaceXYZ_grabState_State1_to_State0_L103,training,underflow,Underflow,0.002,16.284,0.376,1285.860,4712.000
PickPlaceXYZ_grabState_State1_to_State3_L103,training,underflow,Underflow,0.002,11.967,0.390,1264.336,4692.000
PickPlaceXYZ_grabState_State2_to_State0_L178,training,underflow,Underflow,0.002,16.081,0.374,1311.375,4687.000
PickPlaceXYZ_pickingState_State1_to_State2_L90,training,underflow,Underflow,0.002,14.122,0.351,1280.298,4729.000
PickPlaceXYZ_pickingState_State1_to_State3_L90,training,underflow,Underflow,0.002,11.579,0.394,1292.616,4677.000
PickPlaceXYZ_pickingState_State1_to_State4_L90,training,underflow,Underflow,0.002,12.713,0.357,1308.808,4708.000
PickPlaceXYZ_spY_5_5f_to_6_6f_L99,training,underflow,Underflow,0.002,13.025,0.343,1308.326,4697.000
PickPlaceXYZ_spY_5_5f_to_6_8f_L99,training,underflow,Underflow,0.002,13.841,0.346,1282.272,4643.000
PickPlaceXYZ_pickingState_State0_to_State3_L160,training,underflow,Underflow,0.414,42.710,1.577,1322.941,960.000
